"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17632","Submit practice form with file upload, date picker and state/city dropdowns","","Thu Jul 23 20:27:04 UTC 2026","passed","Thu Jul 23 20:27:22 UTC 2026","","com.flamingo.qa.tests.ui.PracticeFormTest","com.flamingo.qa.tests.ui.PracticeFormTest","shouldSubmitFormWithUploadDateAndDropdowns"
"","2860","POST /auth returns a non-blank token for valid credentials","","Thu Jul 23 20:27:08 UTC 2026","passed","Thu Jul 23 20:27:11 UTC 2026","","com.flamingo.qa.tests.api.rest.AuthTest","com.flamingo.qa.tests.api.rest.AuthTest","shouldCreateAuthToken"
"","3805","Create, get and update booking","","Thu Jul 23 20:26:54 UTC 2026","passed","Thu Jul 23 20:26:58 UTC 2026","","com.flamingo.qa.tests.api.rest.BookingCrudTest","com.flamingo.qa.tests.api.rest.BookingCrudTest","shouldCreateGetAndUpdateBooking"
"","5039","Create booking and retrieve it by id","","Thu Jul 23 20:27:07 UTC 2026","passed","Thu Jul 23 20:27:12 UTC 2026","","com.flamingo.qa.tests.api.rest.BookingCrudTest","com.flamingo.qa.tests.api.rest.BookingCrudTest","shouldCreateAndGetBooking"
"","19566","Success modal appears after submitting a valid practice form","","Thu Jul 23 20:27:02 UTC 2026","passed","Thu Jul 23 20:27:21 UTC 2026","","com.flamingo.qa.tests.ui.PracticeFormTest","com.flamingo.qa.tests.ui.PracticeFormTest","shouldShowSuccessModalAfterSubmit"
"","172","Query movies list with pagination limit via GraphQL variables","","Thu Jul 23 20:27:11 UTC 2026","passed","Thu Jul 23 20:27:11 UTC 2026","","com.flamingo.qa.tests.api.graphql.MoviePositiveTest","com.flamingo.qa.tests.api.graphql.MoviePositiveTest","shouldListMoviesWithPaginationVariables"
"","298","Different GraphQL variable values change pagination result size","","Thu Jul 23 20:26:57 UTC 2026","passed","Thu Jul 23 20:26:58 UTC 2026","","com.flamingo.qa.tests.api.graphql.MoviePositiveTest","com.flamingo.qa.tests.api.graphql.MoviePositiveTest","shouldRespectDifferentVariableValues"
"","3048","Invalid movie ID returns HTTP 200 with data.movie = null","","Thu Jul 23 20:27:03 UTC 2026","passed","Thu Jul 23 20:27:06 UTC 2026","","com.flamingo.qa.tests.api.graphql.MovieNegativeTest","com.flamingo.qa.tests.api.graphql.MovieNegativeTest","shouldReturnNullForNonExistentMovieId"
"","77","Query movies using a fragment and nested publishedBy.name","","Thu Jul 23 20:26:58 UTC 2026","passed","Thu Jul 23 20:26:58 UTC 2026","","com.flamingo.qa.tests.api.graphql.MoviePositiveTest","com.flamingo.qa.tests.api.graphql.MoviePositiveTest","shouldQueryWithFragmentAndNestedFields"
"","2867","Delete booking returns 201 and booking is no longer retrievable","","Thu Jul 23 20:26:55 UTC 2026","passed","Thu Jul 23 20:26:58 UTC 2026","","com.flamingo.qa.tests.api.rest.BookingCrudTest","com.flamingo.qa.tests.api.rest.BookingCrudTest","shouldDeleteBooking"
"","3812","Non-existent field returns HTTP 400 validation error","","Thu Jul 23 20:27:07 UTC 2026","passed","Thu Jul 23 20:27:11 UTC 2026","","com.flamingo.qa.tests.api.graphql.MovieNegativeTest","com.flamingo.qa.tests.api.graphql.MovieNegativeTest","shouldReturnValidationErrorForUnknownField"
"","3455","Malformed query returns HTTP 400 with errors and null data","","Thu Jul 23 20:26:54 UTC 2026","passed","Thu Jul 23 20:26:57 UTC 2026","","com.flamingo.qa.tests.api.graphql.MovieNegativeTest","com.flamingo.qa.tests.api.graphql.MovieNegativeTest","shouldReturnErrorsForMalformedQuery"
"","257","Query a single movie by ID using GraphQL variables","","Thu Jul 23 20:27:11 UTC 2026","passed","Thu Jul 23 20:27:11 UTC 2026","","com.flamingo.qa.tests.api.graphql.MoviePositiveTest","com.flamingo.qa.tests.api.graphql.MoviePositiveTest","shouldQueryMovieByIdWithVariables"
