"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3511","Invalid movie ID returns HTTP 200 with data.movie = null","","Thu Jul 23 21:14:03 UTC 2026","passed","Thu Jul 23 21:14:07 UTC 2026","","com.flamingo.qa.tests.api.graphql.MovieNegativeTest","com.flamingo.qa.tests.api.graphql.MovieNegativeTest","shouldReturnNullForNonExistentMovieId"
"","11692","Success modal appears after submitting a valid practice form","","Thu Jul 23 21:14:02 UTC 2026","passed","Thu Jul 23 21:14:14 UTC 2026","","com.flamingo.qa.tests.ui.PracticeFormTest","com.flamingo.qa.tests.ui.PracticeFormTest","shouldShowSuccessModalAfterSubmit"
"","4521","Create booking and retrieve it by id","","Thu Jul 23 21:14:12 UTC 2026","passed","Thu Jul 23 21:14:16 UTC 2026","","com.flamingo.qa.tests.api.rest.BookingCrudTest","com.flamingo.qa.tests.api.rest.BookingCrudTest","shouldCreateAndGetBooking"
"","120","Query a single movie by ID using GraphQL variables","","Thu Jul 23 21:14:15 UTC 2026","passed","Thu Jul 23 21:14:15 UTC 2026","","com.flamingo.qa.tests.api.graphql.MoviePositiveTest","com.flamingo.qa.tests.api.graphql.MoviePositiveTest","shouldQueryMovieByIdWithVariables"
"","9981","Submit practice form with file upload, date picker and state/city dropdowns","","Thu Jul 23 21:14:04 UTC 2026","passed","Thu Jul 23 21:14:14 UTC 2026","","com.flamingo.qa.tests.ui.PracticeFormTest","com.flamingo.qa.tests.ui.PracticeFormTest","shouldSubmitFormWithUploadDateAndDropdowns"
"","2507","POST /auth returns a non-blank token for valid credentials","","Thu Jul 23 21:14:12 UTC 2026","passed","Thu Jul 23 21:14:15 UTC 2026","","com.flamingo.qa.tests.api.rest.AuthTest","com.flamingo.qa.tests.api.rest.AuthTest","shouldCreateAuthToken"
"","109","Query movies using a fragment and nested publishedBy.name","","Thu Jul 23 21:14:23 UTC 2026","passed","Thu Jul 23 21:14:23 UTC 2026","","com.flamingo.qa.tests.api.graphql.MoviePositiveTest","com.flamingo.qa.tests.api.graphql.MoviePositiveTest","shouldQueryWithFragmentAndNestedFields"
"","4187","Malformed query returns HTTP 400 with errors and null data","","Thu Jul 23 21:14:18 UTC 2026","passed","Thu Jul 23 21:14:22 UTC 2026","","com.flamingo.qa.tests.api.graphql.MovieNegativeTest","com.flamingo.qa.tests.api.graphql.MovieNegativeTest","shouldReturnErrorsForMalformedQuery"
"","3343","Non-existent field returns HTTP 400 validation error","","Thu Jul 23 21:14:12 UTC 2026","passed","Thu Jul 23 21:14:15 UTC 2026","","com.flamingo.qa.tests.api.graphql.MovieNegativeTest","com.flamingo.qa.tests.api.graphql.MovieNegativeTest","shouldReturnValidationErrorForUnknownField"
"","283","Different GraphQL variable values change pagination result size","","Thu Jul 23 21:14:22 UTC 2026","passed","Thu Jul 23 21:14:23 UTC 2026","","com.flamingo.qa.tests.api.graphql.MoviePositiveTest","com.flamingo.qa.tests.api.graphql.MoviePositiveTest","shouldRespectDifferentVariableValues"
"","52","Query movies list with pagination limit via GraphQL variables","","Thu Jul 23 21:14:15 UTC 2026","passed","Thu Jul 23 21:14:15 UTC 2026","","com.flamingo.qa.tests.api.graphql.MoviePositiveTest","com.flamingo.qa.tests.api.graphql.MoviePositiveTest","shouldListMoviesWithPaginationVariables"
"","5719","Create, get and update booking","","Thu Jul 23 21:14:18 UTC 2026","passed","Thu Jul 23 21:14:24 UTC 2026","","com.flamingo.qa.tests.api.rest.BookingCrudTest","com.flamingo.qa.tests.api.rest.BookingCrudTest","shouldCreateGetAndUpdateBooking"
"","4768","Delete booking returns 201 and booking is no longer retrievable","","Thu Jul 23 21:14:19 UTC 2026","passed","Thu Jul 23 21:14:24 UTC 2026","","com.flamingo.qa.tests.api.rest.BookingCrudTest","com.flamingo.qa.tests.api.rest.BookingCrudTest","shouldDeleteBooking"
