"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18018","Invalid email and short mobile keep the form from submitting","","Fri Jul 24 09:29:40 UTC 2026","passed","Fri Jul 24 09:29:58 UTC 2026","","com.flamingo.qa.tests.ui.PracticeFormTest","com.flamingo.qa.tests.ui.PracticeFormTest","shouldNotSubmitWithInvalidEmailAndMobile"
"","463","Query movies list with pagination limit via GraphQL variables","","Fri Jul 24 09:29:37 UTC 2026","passed","Fri Jul 24 09:29:37 UTC 2026","","com.flamingo.qa.tests.api.graphql.MoviePositiveTest","com.flamingo.qa.tests.api.graphql.MoviePositiveTest","shouldListMoviesWithPaginationVariables"
"","3130","Non-existent field returns HTTP 400 validation error","","Fri Jul 24 09:29:32 UTC 2026","passed","Fri Jul 24 09:29:35 UTC 2026","","com.flamingo.qa.tests.api.graphql.MovieNegativeTest","com.flamingo.qa.tests.api.graphql.MovieNegativeTest","shouldReturnValidationErrorForUnknownField"
"","11432","Submit practice form with file upload, date picker and state/city dropdowns","","Fri Jul 24 09:29:20 UTC 2026","passed","Fri Jul 24 09:29:31 UTC 2026","","com.flamingo.qa.tests.ui.PracticeFormTest","com.flamingo.qa.tests.ui.PracticeFormTest","shouldSubmitFormWithUploadDateAndDropdowns"
"","1559","Different GraphQL variable values change pagination result size","","Fri Jul 24 09:29:43 UTC 2026","passed","Fri Jul 24 09:29:45 UTC 2026","","com.flamingo.qa.tests.api.graphql.MoviePositiveTest","com.flamingo.qa.tests.api.graphql.MoviePositiveTest","shouldRespectDifferentVariableValues"
"","11145","Empty required fields keep the form from submitting","","Fri Jul 24 09:29:31 UTC 2026","passed","Fri Jul 24 09:29:42 UTC 2026","","com.flamingo.qa.tests.ui.PracticeFormTest","com.flamingo.qa.tests.ui.PracticeFormTest","shouldNotSubmitWhenRequiredFieldsAreEmpty"
"","3401","Create, get and update booking","","Fri Jul 24 09:29:41 UTC 2026","passed","Fri Jul 24 09:29:45 UTC 2026","","com.flamingo.qa.tests.api.rest.BookingCrudTest","com.flamingo.qa.tests.api.rest.BookingCrudTest","shouldCreateGetAndUpdateBooking"
"","431","POST /auth returns a non-blank token for valid credentials","","Fri Jul 24 09:29:37 UTC 2026","passed","Fri Jul 24 09:29:37 UTC 2026","","com.flamingo.qa.tests.api.rest.AuthTest","com.flamingo.qa.tests.api.rest.AuthTest","shouldCreateAuthToken"
"","3519","Create booking and retrieve it by id","","Fri Jul 24 09:29:33 UTC 2026","passed","Fri Jul 24 09:29:37 UTC 2026","","com.flamingo.qa.tests.api.rest.BookingCrudTest","com.flamingo.qa.tests.api.rest.BookingCrudTest","shouldCreateAndGetBooking"
"","2561","Malformed query returns HTTP 400 with errors and null data","","Fri Jul 24 09:29:41 UTC 2026","passed","Fri Jul 24 09:29:43 UTC 2026","","com.flamingo.qa.tests.api.graphql.MovieNegativeTest","com.flamingo.qa.tests.api.graphql.MovieNegativeTest","shouldReturnErrorsForMalformedQuery"
"","13553","Success modal appears after submitting a valid practice form","","Fri Jul 24 09:29:18 UTC 2026","passed","Fri Jul 24 09:29:31 UTC 2026","","com.flamingo.qa.tests.ui.PracticeFormTest","com.flamingo.qa.tests.ui.PracticeFormTest","shouldShowSuccessModalAfterSubmit"
"","1546","Delete booking returns 201 and booking is no longer retrievable","","Fri Jul 24 09:29:45 UTC 2026","passed","Fri Jul 24 09:29:46 UTC 2026","","com.flamingo.qa.tests.api.rest.BookingCrudTest","com.flamingo.qa.tests.api.rest.BookingCrudTest","shouldDeleteBooking"
"","481","Query movies using a fragment and nested publishedBy.name","","Fri Jul 24 09:29:45 UTC 2026","passed","Fri Jul 24 09:29:45 UTC 2026","","com.flamingo.qa.tests.api.graphql.MoviePositiveTest","com.flamingo.qa.tests.api.graphql.MoviePositiveTest","shouldQueryWithFragmentAndNestedFields"
"","1484","Query a single movie by ID using GraphQL variables","","Fri Jul 24 09:29:35 UTC 2026","passed","Fri Jul 24 09:29:37 UTC 2026","","com.flamingo.qa.tests.api.graphql.MoviePositiveTest","com.flamingo.qa.tests.api.graphql.MoviePositiveTest","shouldQueryMovieByIdWithVariables"
"","3177","Invalid movie ID returns HTTP 200 with data.movie = null","","Fri Jul 24 09:29:19 UTC 2026","passed","Fri Jul 24 09:29:22 UTC 2026","","com.flamingo.qa.tests.api.graphql.MovieNegativeTest","com.flamingo.qa.tests.api.graphql.MovieNegativeTest","shouldReturnNullForNonExistentMovieId"
