"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Submit practice form with file upload, date picker and state/city dropdowns","","Thu Jul 23 19:57:24 UTC 2026","skipped","Thu Jul 23 19:57:24 UTC 2026","","com.flamingo.qa.tests.ui.PracticeFormTest","com.flamingo.qa.tests.ui.PracticeFormTest","shouldSubmitFormWithUploadDateAndDropdowns"
"","0","Invalid movie ID returns HTTP 200 with data.movie = null","","Thu Jul 23 19:57:25 UTC 2026","skipped","Thu Jul 23 19:57:25 UTC 2026","","com.flamingo.qa.tests.api.graphql.MovieNegativeTest","com.flamingo.qa.tests.api.graphql.MovieNegativeTest","shouldReturnNullForNonExistentMovieId"
"","1","Query movies using a fragment and nested publishedBy.name","","Thu Jul 23 19:57:30 UTC 2026","skipped","Thu Jul 23 19:57:30 UTC 2026","","com.flamingo.qa.tests.api.graphql.MoviePositiveTest","com.flamingo.qa.tests.api.graphql.MoviePositiveTest","shouldQueryWithFragmentAndNestedFields"
"","3607","POST /auth returns a non-blank token for valid credentials","","Thu Jul 23 19:57:26 UTC 2026","passed","Thu Jul 23 19:57:29 UTC 2026","","com.flamingo.qa.tests.api.rest.AuthTest","com.flamingo.qa.tests.api.rest.AuthTest","shouldCreateAuthToken"
"","0","Delete booking returns 201 and booking is no longer retrievable","","Thu Jul 23 19:57:26 UTC 2026","skipped","Thu Jul 23 19:57:26 UTC 2026","","com.flamingo.qa.tests.api.rest.BookingCrudTest","com.flamingo.qa.tests.api.rest.BookingCrudTest","shouldDeleteBooking"
"","448","Query a single movie by ID using GraphQL variables","","Thu Jul 23 19:57:29 UTC 2026","passed","Thu Jul 23 19:57:30 UTC 2026","","com.flamingo.qa.tests.api.graphql.MoviePositiveTest","com.flamingo.qa.tests.api.graphql.MoviePositiveTest","shouldQueryMovieByIdWithVariables"
"","5780","Create booking and retrieve it by id","","Thu Jul 23 19:57:25 UTC 2026","passed","Thu Jul 23 19:57:30 UTC 2026","","com.flamingo.qa.tests.api.rest.BookingCrudTest","com.flamingo.qa.tests.api.rest.BookingCrudTest","shouldCreateAndGetBooking"
"","2","Success modal appears after submitting a valid practice form","","Thu Jul 23 19:57:23 UTC 2026","skipped","Thu Jul 23 19:57:23 UTC 2026","","com.flamingo.qa.tests.ui.PracticeFormTest","com.flamingo.qa.tests.ui.PracticeFormTest","shouldShowSuccessModalAfterSubmit"
"","0","Create, get and update booking","","Thu Jul 23 19:57:26 UTC 2026","skipped","Thu Jul 23 19:57:26 UTC 2026","","com.flamingo.qa.tests.api.rest.BookingCrudTest","com.flamingo.qa.tests.api.rest.BookingCrudTest","shouldCreateGetAndUpdateBooking"
"","0","Malformed query returns HTTP 400 with errors and null data","","Thu Jul 23 19:57:25 UTC 2026","skipped","Thu Jul 23 19:57:25 UTC 2026","","com.flamingo.qa.tests.api.graphql.MovieNegativeTest","com.flamingo.qa.tests.api.graphql.MovieNegativeTest","shouldReturnErrorsForMalformedQuery"
"","4813","Non-existent field returns HTTP 400 validation error","","Thu Jul 23 19:57:25 UTC 2026","passed","Thu Jul 23 19:57:29 UTC 2026","","com.flamingo.qa.tests.api.graphql.MovieNegativeTest","com.flamingo.qa.tests.api.graphql.MovieNegativeTest","shouldReturnValidationErrorForUnknownField"
"","0","Different GraphQL variable values change pagination result size","","Thu Jul 23 19:57:30 UTC 2026","skipped","Thu Jul 23 19:57:30 UTC 2026","","com.flamingo.qa.tests.api.graphql.MoviePositiveTest","com.flamingo.qa.tests.api.graphql.MoviePositiveTest","shouldRespectDifferentVariableValues"
"","216","Query movies list with pagination limit via GraphQL variables","","Thu Jul 23 19:57:30 UTC 2026","passed","Thu Jul 23 19:57:30 UTC 2026","","com.flamingo.qa.tests.api.graphql.MoviePositiveTest","com.flamingo.qa.tests.api.graphql.MoviePositiveTest","shouldListMoviesWithPaginationVariables"
